Date,Open,High,Low,Close,Adj Close,Volume
2009-06-10,180.000000,182.509995,176.570007,178.520004,126.433678,975700
2009-06-11,180.199997,183.759995,178.550003,182.600006,129.323318,742700
2009-06-12,179.600006,180.000000,170.210007,176.559998,125.045593,1602800
2009-06-15,172.850006,174.619995,166.149994,169.639999,120.144615,1236600
2009-06-16,170.240005,172.500000,168.320007,169.449997,120.010017,1168100
2009-06-17,170.100006,172.539993,165.740005,167.250000,118.451942,708300
2009-06-18,168.250000,172.809998,167.550003,170.360001,120.654533,478100
2009-06-19,172.529999,175.490005,171.429993,174.960007,123.912430,531000
2009-06-22,173.429993,174.500000,167.259995,167.289993,118.480240,560500
2009-06-23,168.100006,170.889999,167.460007,167.809998,118.848564,502100
2009-06-24,167.649994,174.869995,167.649994,173.470001,122.857147,558200
2009-06-25,173.729996,177.919998,172.399994,175.300003,124.153183,685500
2009-06-26,176.699997,177.979996,175.449997,177.880005,125.980461,886200
2009-06-29,176.500000,177.949997,175.100006,175.949997,124.613556,391400
2009-06-30,177.899994,177.899994,173.649994,175.419998,124.238220,276500
2009-07-01,176.100006,176.220001,172.520004,172.850006,122.418053,423000
2009-07-02,172.050003,172.050003,167.649994,167.649994,118.735214,317600
2009-07-06,167.750000,168.279999,164.750000,166.229996,117.729530,597700
2009-07-07,167.919998,167.919998,162.070007,162.169998,114.854088,585200
2009-07-08,165.250000,165.250000,159.449997,161.389999,114.301697,709500
2009-07-09,160.559998,167.380005,160.550003,166.289993,117.771957,454800
2009-07-10,166.500000,167.369995,164.000000,166.160004,117.679993,331100
2009-07-13,168.630005,172.119995,165.559998,172.100006,121.886856,524200
2009-07-14,172.520004,173.190002,169.500000,172.710007,122.318863,600100
2009-07-15,174.449997,180.320007,173.190002,180.070007,127.531479,463200
2009-07-16,179.990005,180.149994,175.470001,179.119995,126.858643,359800
2009-07-17,177.690002,180.089996,177.690002,179.789993,127.333168,308000
2009-07-20,181.490005,185.300003,180.070007,184.820007,130.895599,545000
2009-07-21,181.520004,184.929993,178.399994,184.139999,130.413956,859300
2009-07-22,181.149994,185.830002,179.479996,185.509995,131.384262,767200
2009-07-23,186.000000,199.630005,185.679993,197.899994,140.159302,1371100
2009-07-24,196.350006,197.830002,189.649994,192.179993,136.108139,685500
2009-07-27,191.309998,193.500000,189.369995,190.000000,134.564240,568700
2009-07-28,189.490005,192.809998,187.630005,190.160004,134.677551,526500
2009-07-29,189.000000,190.500000,188.389999,189.240005,134.025955,327800
2009-07-30,189.800003,195.369995,189.800003,191.360001,135.527435,466600
2009-07-31,192.740005,192.740005,189.250000,190.539993,134.946655,276600
2009-08-03,192.100006,195.619995,192.100006,195.619995,138.544525,411500
2009-08-04,194.369995,198.990005,192.869995,198.600006,140.655090,517500
2009-08-05,197.770004,201.270004,196.589996,200.630005,142.092758,461800
2009-08-06,200.369995,203.589996,196.199997,197.889999,140.152191,547300
2009-08-07,198.279999,203.449997,198.050003,202.460007,143.388794,315400
2009-08-10,203.500000,203.500000,197.000000,198.770004,140.775482,210300
2009-08-11,198.770004,200.369995,195.600006,198.759995,140.768326,467500
2009-08-12,198.500000,203.979996,198.039993,201.080002,142.411469,432700
2009-08-13,201.610001,203.789993,197.440002,198.589996,140.647934,326200
2009-08-14,199.850006,200.949997,196.600006,197.770004,140.067200,310500
2009-08-17,192.729996,196.789993,188.500000,188.960007,133.827667,686800
2009-08-18,191.419998,197.309998,189.350006,196.169998,138.934067,384000
2009-08-19,193.330002,197.820007,193.050003,196.639999,139.266876,279900
2009-08-20,195.580002,207.000000,195.580002,206.229996,146.058868,612100
2009-08-21,208.580002,210.020004,206.270004,207.500000,146.958298,383000
2009-08-24,209.500000,210.529999,204.100006,204.800003,145.046082,446500
2009-08-25,203.600006,204.419998,200.679993,202.360001,143.317963,536600
2009-08-26,201.990005,204.520004,198.820007,199.199997,141.079971,431300
2009-08-27,199.300003,200.660004,196.360001,200.250000,141.823639,419900
2009-08-28,200.960007,203.779999,200.149994,201.550003,142.744354,434900
2009-08-31,197.300003,200.009995,196.820007,199.570007,141.891144,290600
2009-09-01,199.800003,202.860001,193.449997,194.119995,138.016281,524900
2009-09-02,191.940002,195.320007,191.679993,192.380005,136.779205,238400
2009-09-03,193.100006,197.139999,193.100006,197.139999,140.163391,267800
2009-09-04,197.139999,197.949997,194.160004,195.449997,138.961868,268100
2009-09-08,198.839996,199.729996,197.100006,199.360001,141.741806,243300
2009-09-09,199.360001,202.729996,198.460007,202.009995,143.625916,224500
2009-09-10,201.839996,202.600006,199.250000,201.679993,143.391266,236200
2009-09-11,202.220001,203.000000,200.059998,201.770004,143.455292,282800
2009-09-14,199.410004,201.289993,197.610001,201.229996,143.071411,216100
2009-09-15,201.229996,202.309998,199.570007,200.669998,142.673248,290600
2009-09-16,202.949997,207.000000,201.779999,206.960007,147.145264,386200
2009-09-17,204.009995,207.649994,202.289993,202.429993,143.924530,323800
