Date,Open,High,Low,Close,Adj Close,Volume
2009-01-01,22.700001,23.000000,22.110001,22.465000,14.524366,79481800
2009-01-08,22.420000,22.639999,21.135000,21.309999,13.777624,110015200
2009-01-15,21.285000,22.250000,21.080000,21.645000,13.994218,108547200
2009-01-22,21.320000,22.000000,20.780001,21.930000,14.178480,118342400
2009-01-29,21.850000,22.245001,20.764999,21.200001,13.706511,96089600
2009-02-05,21.110001,21.844999,20.139999,20.635000,13.341221,127256000
2009-02-12,21.325001,22.225000,21.075001,21.340000,13.797025,128492000
2009-02-19,21.555000,21.860001,20.959999,21.184999,13.696812,126013000
2009-02-26,21.385000,21.385000,19.379999,19.865000,12.843385,159129000
2009-03-05,19.580000,19.975000,18.719999,19.785000,12.791668,167029800
2009-03-12,19.790001,21.125000,19.674999,20.825001,13.606517,122108800
2009-03-19,20.924999,22.445000,20.900000,22.375000,14.619247,133972000
2009-03-26,22.475000,22.600000,21.715000,22.430000,14.655186,118908600
2009-04-02,22.650000,22.915001,22.230000,22.495001,14.697648,88158800
2009-04-09,22.855000,22.865000,21.905001,22.514999,14.710715,62501200
2009-04-16,22.684999,22.754999,21.299999,21.465000,14.024675,133909200
2009-04-23,21.535000,21.575001,21.000000,21.355000,13.952806,119708400
2009-04-30,21.565001,22.035000,21.090000,21.469999,14.027943,125850600
2009-05-07,21.660000,22.344999,21.254999,21.815001,14.253357,130424000
2009-05-14,21.959999,23.645000,21.955000,23.500000,15.354293,162422800
2009-05-21,23.320000,23.855000,23.200001,23.315001,15.233421,100792400
2009-05-28,23.325001,24.965000,23.180000,24.545000,16.037069,167350200
2009-06-04,24.570000,24.969999,24.025000,24.205000,15.814932,105933600
2009-06-11,24.059999,24.605000,23.910000,23.965000,15.658114,87959800
2009-06-18,23.995001,24.945000,23.680000,23.750000,15.650183,112736600
2009-06-25,23.709999,24.799999,23.590000,24.590000,16.203705,120017200
2009-07-02,24.385000,24.715000,24.084999,24.254999,15.982950,77301000
2009-07-09,24.360001,25.290001,24.010000,25.264999,16.648504,89151000
2009-07-16,25.174999,25.514999,24.424999,24.565001,16.187231,111828400
2009-07-23,24.565001,25.010000,24.420000,24.639999,16.236654,93785200
2009-07-30,24.910000,25.250000,24.500000,24.584999,16.200409,87285000
2009-08-06,24.705000,24.875000,24.215000,24.230000,15.966481,78020000
2009-08-13,24.215000,24.740000,23.709999,24.680000,16.263012,90134400
2009-08-20,24.695000,24.990000,24.344999,24.590000,16.203705,86284800
2009-08-27,24.590000,25.150000,24.190001,24.900000,16.407984,114299400
2009-09-03,24.815001,25.405001,24.525000,25.315001,16.681446,84794000
2009-09-10,25.264999,26.410000,25.000000,26.334999,17.353579,142667400
2009-09-17,26.250000,27.059999,26.084999,26.290001,17.465502,216500000
2009-09-24,26.290001,26.975000,26.115000,26.850000,17.837536,106810400
2009-10-01,26.700001,27.639999,26.455000,27.405001,18.206240,108665800
2009-10-08,27.504999,27.625000,27.125000,27.420000,18.216204,73891000
2009-10-15,27.365000,27.750000,26.590000,27.035000,17.960440,110359400
2009-10-22,26.790001,27.150000,26.355000,26.754999,17.774424,90390400
2009-10-29,26.760000,27.135000,26.385000,26.745001,17.767786,85652000
2009-11-05,26.754999,28.135000,26.725000,28.065001,18.644705,76660600
